cba_id,source,filename,filepath,employer,union,state_abbrev,state_name,state_fips,sector,naics,naics_description,effective_date,expiration_date,n_workers,multi_state,metadata_source,also_in_dol,also_in_cornell,mistral_contract_year,mistral_naics,mistral_n_occupations,mistral_mean_wage,mistral_median_wage,mistral_step_up
Cornell_DoL_1404ABBYY.pdf,Cornell_DoL,1404ABBYY.pdf,Cornell Archive/Cornell-DoL/1404ABBYY.pdf,The New York Times,"The Newspaper Guild of New York (TNG), Local 3",NE,Nebraska,31,Private,51111,,2003-03-31,,,0,Cornell_Header,1,0,,,,,,
Cornell_DoL_K830555_06_02combined.pdf,Cornell_DoL,K830555_06_02combined.pdf,Cornell Archive/Cornell-DoL/K830555_06_02combined.pdf,,,,,,,,,,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_8524ABBYY.pdf,Cornell_DoL,8524ABBYY.pdf,Cornell Archive/Cornell-DoL/8524ABBYY.pdf,Michigan Alliance of Union Painting Contractors Association,International Union of Painters & Allied Trades (PAT),MI,Michigan,26,Private,23832,,1998-06-01,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_K810179_12_04combined.pdf,Cornell_DoL,K810179_12_04combined.pdf,Cornell Archive/Cornell-DoL/K810179_12_04combined.pdf,,,,,,,,,,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_K800258_06_05ABBYY.pdf,Cornell_DoL,K800258_06_05ABBYY.pdf,Cornell Archive/Cornell-DoL/K800258_06_05ABBYY.pdf,"Minnesota, State of (General Supervisory Unit)",Middle Management Association (MMA),MN,Minnesota,27,,92119,,2003-07-01,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_6381ABBYY.pdf,Cornell_DoL,6381ABBYY.pdf,Cornell Archive/Cornell-DoL/6381ABBYY.pdf,"Waldbaums Supermarkets, Inc.","United Food and Commercial Workers Union (UFCW), AFL-CIO, Local 342",NY,New York,36,Private,44511,,1999-10-23,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_K820349ABBYY.pdf,Cornell_DoL,K820349ABBYY.pdf,Cornell Archive/Cornell-DoL/K820349ABBYY.pdf,,,,,,,,,,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_4427ABBYY.pdf,Cornell_DoL,4427ABBYY.pdf,Cornell Archive/Cornell-DoL/4427ABBYY.pdf,Xerox Corporation,"Xerographic Division, Union of Needletrades, Industrial and Textile, Local 14",NY,New York,36,Private,333315,,2002-03-18,,,0,Cornell_Header,1,0,,,,,,
Cornell_DoL_8781ABBYY.pdf,Cornell_DoL,8781ABBYY.pdf,Cornell Archive/Cornell-DoL/8781ABBYY.pdf,"Electrical Contractors Association of Greater Boston, Inc.; Boston","International Brotherhood of Electrical Workers (IBEW), AFL-CIO-CLC, Local 103",MA,Massachusetts,25,Private,23821,,2003-09-01,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_K811484_12_05combined.pdf,Cornell_DoL,K811484_12_05combined.pdf,Cornell Archive/Cornell-DoL/K811484_12_05combined.pdf,,,,,,,,,,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_8104ABBYY.pdf,Cornell_DoL,8104ABBYY.pdf,Cornell Archive/Cornell-DoL/8104ABBYY.pdf,"Sheet Metal & Air Conditioning Contractors National Association,","Sheet Metal Workers’ International Association, Local 2",MO,Missouri,29,Private,23822,,2002-07-01,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_1266ABBYY.pdf,Cornell_DoL,1266ABBYY.pdf,Cornell Archive/Cornell-DoL/1266ABBYY.pdf,"Georgia-Pacific Corporation, Crossett-Paper","Paper, Allied-Industrial, Chemical and Energy Workers International Union, Local 5",AR,Arkansas,05,Private,322121,,2000-07-01,,,0,Cornell_Header,1,0,,,,,,
Cornell_DoL_1909ABBYY.pdf,Cornell_DoL,1909ABBYY.pdf,Cornell Archive/Cornell-DoL/1909ABBYY.pdf,Yokohama Tire Corporation,"United Steelworkers of America (USWA), Local 1023",AL,Alabama,01,Private,,,1997-07-29,,,0,Cornell_Header,1,0,,,,,,
Cornell_DoL_K800033_12ABBYY.pdf,Cornell_DoL,K800033_12ABBYY.pdf,Cornell Archive/Cornell-DoL/K800033_12ABBYY.pdf,"Massachusetts, Commonwealth of (Human Resources Division)",Massachusetts Organization of State Engineers & Scientists (MOSES),MA,Massachusetts,25,,92119,,2000-01-01,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_K800399_05_08combined.pdf,Cornell_DoL,K800399_05_08combined.pdf,Cornell Archive/Cornell-DoL/K800399_05_08combined.pdf,,,,,,,,,,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_8669ABBYY.pdf,Cornell_DoL,8669ABBYY.pdf,Cornell Archive/Cornell-DoL/8669ABBYY.pdf,"Mechanical Contractors Association of New Mexico, Inc.","United Association of Journeymen & Apprentices of the Plumbing & Pipefitting, Local 412",AL,Alabama,01,Private,23822,,2002-04-01,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_8993ABBYY.pdf,Cornell_DoL,8993ABBYY.pdf,Cornell Archive/Cornell-DoL/8993ABBYY.pdf,"Labor Relations Division, Albany Region, Associated General","Laborers International Union of North America (LIUNA), Local 35",AL,Alabama,01,Private,23731,,2004-04-01,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_6855ABBYY.pdf,Cornell_DoL,6855ABBYY.pdf,Cornell Archive/Cornell-DoL/6855ABBYY.pdf,"Penn Traffic Inc., Riverside Division","United Food and Commercial Workers Union, Local 23",PA,Pennsylvania,42,Private,44511,,1999-05-01,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_8626ABBYY.pdf,Cornell_DoL,8626ABBYY.pdf,Cornell Archive/Cornell-DoL/8626ABBYY.pdf,"Associated General Contractors of Wisconsin, Inc.","North Wisconsin Regional Council of Carpenters, United Brotherhood of",UT,Utah,49,Private,23622,,2002-05-26,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_K800381_03_08combined.pdf,Cornell_DoL,K800381_03_08combined.pdf,Cornell Archive/Cornell-DoL/K800381_03_08combined.pdf,,,,,,,,,,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_K829237_07_02combined.pdf,Cornell_DoL,K829237_07_02combined.pdf,Cornell Archive/Cornell-DoL/K829237_07_02combined.pdf,,,,,,,,,,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_K800112ABBYY.pdf,Cornell_DoL,K800112ABBYY.pdf,Cornell Archive/Cornell-DoL/K800112ABBYY.pdf,"Board of Directors, Evergreen School District, County of Clark,","Evergreen Educational Association, National Education Association (NEA)",CO,Colorado,08,,61111,,2003-09-01,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_K811320_06_05combined.pdf,Cornell_DoL,K811320_06_05combined.pdf,Cornell Archive/Cornell-DoL/K811320_06_05combined.pdf,,,,,,,,,,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_K800409_12_04combined.pdf,Cornell_DoL,K800409_12_04combined.pdf,Cornell Archive/Cornell-DoL/K800409_12_04combined.pdf,"Michigan, State of",United Technical Employees Association (UTEA),MI,Michigan,26,,61131,,2002-01-01,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_K811621_06_07combined.pdf,Cornell_DoL,K811621_06_07combined.pdf,Cornell Archive/Cornell-DoL/K811621_06_07combined.pdf,,,,,,,,,,,,0,Cornell_Header,0,0,,,,,,
Cornell_DoL_K811847combined.pdf,Cornell_DoL,K811847combined.pdf,Cornell Archive/Cornell-DoL/K811847combined.pdf,,,,,,,,,,,,0,Cornell_Header,0,0,,,,,,
