document_id,contract_year,cola_strict,cola_broad
2046,2011,0,0
1555,1997,0,0
4612,,0,0
1410,2007,0,1
87,2010,0,1
1739,2009,0,0
2115,2012,0,0
2050,2010,0,0
3211,2003,0,0
537,2005,0,1
1851,2010,0,0
188,2005,0,0
1447,,0,0
472,,0,0
2841,2002,0,0
1781,2011,0,0
4079,2022,0,0
3246,,0,0
496,,1,1
34,2005,0,0
2149,2013,0,0
1765,2007,0,1
1620,2009,0,0
1270,2005,0,0
63,2002,0,0
3426,2009,0,0
8,,0,0
2667,,1,1
357,2008,1,1
1362,2019,0,0
1732,2000,0,1
1227,2003,0,0
642,2013,0,0
1118,1998,0,0
984,2002,0,0
3963,,0,0
2671,2003,0,0
3060,2004,0,0
592,,0,0
3430,1998,0,0
438,,1,1
2558,2015,0,0
1724,2001,0,0
341,2010,1,1
654,2001,0,0
22,,0,0
3871,,0,0
2763,2009,0,0
3522,,0,0
480,2003,0,0
3488,,0,0
896,1998,0,0
1909,2010,0,0
2626,,0,0
1773,2009,0,0
253,2008,0,1
414,2002,0,0
1421,2005,0,0
1071,1999,0,0
3109,2003,0,0
3220,2004,0,0
228,2010,0,0
382,2002,0,1
1358,2008,0,0
1708,2007,0,0
910,2003,0,0
1476,2003,0,0
4361,,0,1
156,,1,1
855,2005,0,0
1860,2011,0,0
2523,2019,0,0
3332,2004,0,0
455,2009,0,0
1933,2007,0,0
3518,,0,1
510,2003,0,0
2020,2009,0,0
2866,2005,0,0
4265,2022,0,0
1437,2001,0,0
117,2007,0,0
814,2006,0,0
1821,2004,0,0
4009,2018,0,0
2132,2010,0,0
681,2004,0,0
1769,2012,0,0
2000,2005,0,0
3241,2000,0,0
1786,2008,0,1
38,2003,0,0
863,2004,0,0
475,,0,0
2796,2003,0,0
926,2006,0,0
1913,2007,0,0
2112,2016,0,0
2542,2016,0,0
567,2003,0,0
2684,,0,0
1417,2005,0,0
4195,2020,0,0
658,2004,0,0
1397,2001,0,0
79,2003,0,0
2692,2004,0,0
571,2006,0,0
